timestep,delivered,available,idle,to_good,collecting,returning
1,0,41,0,8,0,0
2,0,41,0,8,0,0
3,0,41,0,8,0,0
4,0,41,0,7,1,0
5,0,40,0,5,2,1
6,0,38,0,2,3,3
7,0,35,0,1,1,6
8,1,34,1,0,1,6
9,1,33,0,1,0,7
10,3,33,2,1,0,5
11,3,33,0,3,0,5
12,6,33,3,3,0,2
13,6,33,0,6,0,2
14,7,33,1,6,0,1
15,7,33,0,6,1,1
16,8,32,1,6,0,1
17,8,32,0,7,0,1
18,8,32,0,6,1,1
19,8,31,0,3,3,2
20,8,28,0,2,1,5
21,8,27,0,2,0,6
22,9,27,1,1,1,5
23,9,26,0,2,0,6
24,9,26,0,2,0,6
25,9,26,0,2,0,6
26,12,26,3,1,1,3
27,12,25,0,4,0,4
28,14,25,2,4,0,2
29,14,25,0,6,0,2
30,15,25,1,6,0,1
31,15,25,0,7,0,1
32,15,25,0,6,1,1
33,15,24,0,6,0,2
34,15,24,0,5,1,2
35,15,23,0,5,0,3
36,16,23,1,4,1,2
37,16,22,0,4,1,3
38,16,21,0,4,0,4
39,16,21,0,3,1,4
40,16,20,0,2,1,5
41,16,19,0,2,0,6
42,18,19,2,2,0,4
43,18,19,0,4,0,4
44,19,19,1,3,1,3
45,19,18,0,4,0,4
46,19,18,0,4,0,4
47,19,18,0,4,0,4
48,20,18,1,3,1,3
49,20,17,0,4,0,4
50,20,17,0,4,0,4
51,20,17,0,4,0,4
52,22,17,2,3,1,2
53,22,16,0,5,0,3
54,22,16,0,4,1,3
55,22,15,0,3,1,4
56,22,14,0,3,0,5
57,22,14,0,3,0,5
58,23,14,1,3,0,4
59,23,14,0,4,0,4
60,24,14,1,4,0,3
61,24,14,0,5,0,3
62,25,14,1,4,1,2
63,25,13,0,5,0,3
64,26,13,1,5,0,2
65,26,13,0,5,1,2
66,26,12,0,4,1,3
67,26,11,0,4,0,4
68,27,11,1,4,0,3
69,27,11,0,5,0,3
70,27,11,0,5,0,3
71,27,11,0,5,0,3
72,27,11,0,5,0,3
73,27,11,0,3,2,3
74,27,9,0,2,1,5
75,27,8,0,1,1,6
76,28,7,1,1,0,6
77,28,7,0,2,0,6
78,29,7,1,2,0,5
79,29,7,0,3,0,5
80,30,7,1,3,0,4
81,30,7,0,4,0,4
82,30,7,0,4,0,4
83,30,7,0,4,0,4
84,31,7,1,3,1,3
85,31,6,0,4,0,4
86,32,6,1,4,0,3
87,32,6,0,5,0,3
88,34,6,2,5,0,1
89,34,6,1,6,0,1
90,34,6,1,6,0,1
91,34,6,1,6,0,1
92,34,6,1,5,1,1
93,34,5,1,4,1,2
94,34,4,1,4,0,3
95,34,4,1,4,0,3
96,34,4,1,4,0,3
97,34,4,1,3,1,3
98,34,3,1,3,0,4
99,34,3,1,2,1,4
100,35,2,2,1,1,4
101,35,1,2,1,0,5
102,35,1,2,1,0,5
103,35,1,2,0,1,5
104,35,0,2,0,0,6
105,35,0,2,0,0,6
106,36,0,3,0,0,5
107,36,0,3,0,0,5
108,36,0,3,0,0,5
109,36,0,3,0,0,5
110,38,0,5,0,0,3
111,38,0,5,0,0,3
112,38,0,5,0,0,3
113,38,0,5,0,0,3
114,39,0,6,0,0,2
115,39,0,6,0,0,2
116,39,0,6,0,0,2
117,39,0,6,0,0,2
118,41,0,8,0,0,0
