timestep,delivered,available,idle,to_good,collecting,returning
1,0,21,0,4,0,0
2,0,21,0,4,0,0
3,0,21,0,4,0,0
4,0,21,0,2,2,0
5,0,19,0,1,1,2
6,0,18,0,1,0,3
7,0,18,0,1,0,3
8,2,18,2,0,1,1
9,2,17,0,2,0,2
10,3,17,1,2,0,1
11,3,17,0,3,0,1
12,3,17,0,3,0,1
13,3,17,0,3,0,1
14,3,17,0,3,0,1
15,3,17,0,3,0,1
16,4,17,1,3,0,0
17,4,17,0,3,1,0
18,4,16,0,2,1,1
19,4,15,0,2,0,2
20,4,15,0,2,0,2
21,4,15,0,2,0,2
22,4,15,0,1,1,2
23,4,14,0,1,0,3
24,4,14,0,1,0,3
25,4,14,0,1,0,3
26,6,14,2,1,0,1
27,6,14,0,3,0,1
28,6,14,0,3,0,1
29,6,14,0,2,1,1
30,6,13,0,2,0,2
31,6,13,0,2,0,2
32,6,13,0,2,0,2
33,6,13,0,2,0,2
34,6,13,0,2,0,2
35,6,13,0,1,1,2
36,7,12,1,1,0,2
37,7,12,0,1,1,2
38,7,11,0,1,0,3
39,7,11,0,1,0,3
40,7,11,0,1,0,3
41,7,11,0,1,0,3
42,8,11,1,1,0,2
43,8,11,0,2,0,2
44,9,11,1,2,0,1
45,9,11,0,3,0,1
46,9,11,0,3,0,1
47,9,11,0,3,0,1
48,10,11,1,3,0,0
49,10,11,0,4,0,0
50,10,11,0,4,0,0
51,10,11,0,4,0,0
52,10,11,0,3,1,0
53,10,10,0,3,0,1
54,10,10,0,2,1,1
55,10,9,0,1,1,2
56,10,8,0,1,0,3
57,10,8,0,1,0,3
58,10,8,0,1,0,3
59,10,8,0,1,0,3
60,10,8,0,1,0,3
61,10,8,0,1,0,3
62,10,8,0,0,1,3
63,10,7,0,0,0,4
64,11,7,1,0,0,3
65,11,7,0,1,0,3
66,11,7,0,1,0,3
67,11,7,0,1,0,3
68,13,7,2,1,0,1
69,13,7,0,3,0,1
70,13,7,0,3,0,1
71,13,7,0,3,0,1
72,13,7,0,3,0,1
73,13,7,0,3,0,1
74,13,7,0,3,0,1
75,13,7,0,3,0,1
76,14,7,1,2,1,0
77,14,6,0,3,0,1
78,14,6,0,3,0,1
79,14,6,0,3,0,1
80,14,6,0,3,0,1
81,14,6,0,3,0,1
82,14,6,0,3,0,1
83,14,6,0,3,0,1
84,14,6,0,1,2,1
85,14,4,0,1,0,3
86,14,4,0,1,0,3
87,14,4,0,1,0,3
88,15,4,1,1,0,2
89,15,4,0,2,0,2
90,15,4,0,2,0,2
91,15,4,0,2,0,2
92,15,4,0,2,0,2
93,15,4,0,2,0,2
94,15,4,0,1,1,2
95,15,3,0,1,0,3
96,15,3,0,1,0,3
97,15,3,0,1,0,3
98,15,3,0,1,0,3
99,15,3,0,1,0,3
100,17,3,2,1,0,1
101,17,3,0,3,0,1
102,17,3,0,2,1,1
103,17,2,0,2,0,2
104,17,2,0,2,0,2
105,17,2,0,2,0,2
106,17,2,0,2,0,2
107,17,2,0,2,0,2
108,17,2,0,2,0,2
109,17,2,0,2,0,2
110,17,2,0,2,0,2
111,17,2,0,2,0,2
112,18,2,1,2,0,1
113,18,2,1,2,0,1
114,18,2,1,2,0,1
115,18,2,1,2,0,1
116,19,2,2,2,0,0
117,19,2,2,0,2,0
118,19,0,2,0,0,2
119,19,0,2,0,0,2
120,19,0,2,0,0,2
121,19,0,2,0,0,2
122,19,0,2,0,0,2
123,19,0,2,0,0,2
124,19,0,2,0,0,2
125,19,0,2,0,0,2
126,19,0,2,0,0,2
127,19,0,2,0,0,2
128,19,0,2,0,0,2
129,19,0,2,0,0,2
130,19,0,2,0,0,2
131,19,0,2,0,0,2
132,19,0,2,0,0,2
133,19,0,2,0,0,2
134,21,0,4,0,0,0
